iteration,loss,ce_loss,accuracy,two_qubit_count
0,0.7831471605599455,0.6931471605599455,0.5,9
1,0.7831471605599455,0.6931471605599455,0.575,9
2,0.7831471605599454,0.6931471605599454,0.55,9
3,0.7831471605599453,0.6931471605599453,0.5,9
4,0.7831471605599454,0.6931471605599454,0.5,9
5,0.7831471605599453,0.6931471605599453,0.5,9
6,0.7831471605599454,0.6931471605599454,0.35,9
7,0.7831471605599455,0.6931471605599455,0.325,9
8,0.7831471605599455,0.6931471605599455,0.5,9
9,0.7831471605599455,0.6931471605599455,0.475,9
10,0.7831471605599454,0.6931471605599454,0.175,9
11,0.7831471605599454,0.6931471605599454,0.225,9
12,0.7831471605599455,0.6931471605599455,0.5,9
13,0.7831471605599454,0.6931471605599454,0.5,9
14,0.7831471605599454,0.6931471605599454,0.5,9
15,0.7831471605599454,0.6931471605599454,0.55,9
16,0.7831471605599454,0.6931471605599454,0.35,9
17,0.7831471605599455,0.6931471605599455,0.5,9
18,0.7831471605599455,0.6931471605599455,0.5,9
19,0.7831471605599454,0.6931471605599454,0.35,9
20,0.7831471605599454,0.6931471605599454,0.5,9
21,0.7831471605599454,0.6931471605599454,0.525,9
22,0.7831471605599455,0.6931471605599455,0.5,9
23,0.7831471605599454,0.6931471605599454,0.5,9
24,0.7831471605599454,0.6931471605599454,0.5,9
25,0.7831471605599455,0.6931471605599455,0.475,9
26,0.7831471605599455,0.6931471605599455,0.5,9
27,0.7831471605599455,0.6931471605599455,0.5,9
28,0.7831471605599455,0.6931471605599455,0.5,9
29,0.7831471605599454,0.6931471605599454,0.5,9
30,0.7831471605599455,0.6931471605599455,0.5,9
31,0.7831471605599454,0.6931471605599454,0.5,9
32,0.7831471605599454,0.6931471605599454,0.5,9
33,0.7831471605599454,0.6931471605599454,0.525,9
34,0.7831471605599455,0.6931471605599455,0.325,9
35,0.7831471605599455,0.6931471605599455,0.525,9
36,0.7831471605599455,0.6931471605599455,0.5,9
37,0.7831471605599455,0.6931471605599455,0.5,9
38,0.7831471605599454,0.6931471605599454,0.5,9
39,0.7831471605599455,0.6931471605599455,0.5,9
40,0.7831471605599455,0.6931471605599455,0.6,9
41,0.7831471605599454,0.6931471605599454,0.5,9
42,0.7831471605599454,0.6931471605599454,0.35,9
43,0.7831471605599454,0.6931471605599454,0.5,9
44,0.7831471605599455,0.6931471605599455,0.5,9
45,0.7831471605599455,0.6931471605599455,0.45,9
46,0.7831471605599454,0.6931471605599454,0.5,9
47,0.7831471605599455,0.6931471605599455,0.6,9
48,0.7831471605599454,0.6931471605599454,0.5,9
49,0.7831471605599455,0.6931471605599455,0.5,9
50,0.7831471605599455,0.6931471605599455,0.45,9
51,0.7831471605599454,0.6931471605599454,0.525,9
52,0.7831471605599454,0.6931471605599454,0.5,9
53,0.7831471605599455,0.6931471605599455,0.65,9
54,0.7831471605599455,0.6931471605599455,0.5,9
55,0.7831471605599454,0.6931471605599454,0.5,9
56,0.7831471605599454,0.6931471605599454,0.35,9
57,0.7831471605599455,0.6931471605599455,0.5,9
58,0.7831471605599455,0.6931471605599455,0.5,9
59,0.7831471605599455,0.6931471605599455,0.5,9
60,0.7831471605599455,0.6931471605599455,0.5,9
61,0.7831471605599455,0.6931471605599455,0.45,9
62,0.7831471605599454,0.6931471605599454,0.3,9
63,0.7831471605599454,0.6931471605599454,0.375,9
64,0.7831471605599455,0.6931471605599455,0.5,9
65,0.7831471605599455,0.6931471605599455,0.5,9
66,0.7831471605599454,0.6931471605599454,0.475,9
67,0.7831471605599455,0.6931471605599455,0.45,9
68,0.7831471605599454,0.6931471605599454,0.525,9
69,0.7831471605599455,0.6931471605599455,0.45,9
70,0.7831471605599455,0.6931471605599455,0.325,9
71,0.7831471605599455,0.6931471605599455,0.5,9
72,0.7831471605599455,0.6931471605599455,0.4,9
73,0.7831471605599454,0.6931471605599454,0.375,9
74,0.7831471605599455,0.6931471605599455,0.5,9
75,0.7831471605599454,0.6931471605599454,0.425,9
76,0.7831471605599455,0.6931471605599455,0.5,9
77,0.7831471605599455,0.6931471605599455,0.5,9
78,0.7831471605599455,0.6931471605599455,0.5,9
79,0.7831471605599455,0.6931471605599455,0.5,9
80,0.7831471605599455,0.6931471605599455,0.25,9
81,0.7831471605599455,0.6931471605599455,0.5,9
82,0.7831471605599455,0.6931471605599455,0.5,9
83,0.7831471605599454,0.6931471605599454,0.5,9
84,0.7831471605599454,0.6931471605599454,0.5,9
85,0.7831471605599455,0.6931471605599455,0.5,9
86,0.7831471605599455,0.6931471605599455,0.5,9
87,0.7831471605599455,0.6931471605599455,0.5,9
88,0.7831471605599455,0.6931471605599455,0.5,9
89,0.7831471605599455,0.6931471605599455,0.5,9
90,0.7831471605599454,0.6931471605599454,0.5,9
91,0.7831471605599454,0.6931471605599454,0.5,9
92,0.7831471605599454,0.6931471605599454,0.4,9
93,0.7831471605599455,0.6931471605599455,0.5,9
94,0.7831471605599455,0.6931471605599455,0.5,9
95,0.7831471605599455,0.6931471605599455,0.5,9
96,0.7831471605599455,0.6931471605599455,0.5,9
97,0.7831471605599455,0.6931471605599455,0.55,9
98,0.7831471605599455,0.6931471605599455,0.475,9
99,0.7831471605599454,0.6931471605599454,0.375,9
100,0.7831471605599454,0.6931471605599454,0.5,9
101,0.7831471605599455,0.6931471605599455,0.5,9
102,0.7831471605599455,0.6931471605599455,0.5,9
103,0.7831471605599455,0.6931471605599455,0.5,9
104,0.7831471605599455,0.6931471605599455,0.45,9
105,0.7831471605599454,0.6931471605599454,0.375,9
106,0.7831471605599455,0.6931471605599455,0.4,9
107,0.7831471605599455,0.6931471605599455,0.425,9
108,0.7831471605599455,0.6931471605599455,0.5,9
109,0.7831471605599454,0.6931471605599454,0.5,9
110,0.7831471605599454,0.6931471605599454,0.625,9
111,0.7831471605599455,0.6931471605599455,0.5,9
112,0.7831471605599454,0.6931471605599454,0.375,9
113,0.7831471605599454,0.6931471605599454,0.45,9
114,0.7831471605599454,0.6931471605599454,0.5,9
115,0.7831471605599455,0.6931471605599455,0.475,9
116,0.7831471605599454,0.6931471605599454,0.45,9
117,0.7831471605599455,0.6931471605599455,0.45,9
118,0.7831471605599455,0.6931471605599455,0.225,9
119,0.7831471605599455,0.6931471605599455,0.45,9
120,0.7831471605599454,0.6931471605599454,0.375,9
121,0.7831471605599455,0.6931471605599455,0.5,9
122,0.7831471605599454,0.6931471605599454,0.575,9
123,0.7831471605599454,0.6931471605599454,0.525,9
124,0.7831471605599454,0.6931471605599454,0.5,9
125,0.7831471605599455,0.6931471605599455,0.5,9
126,0.7831471605599455,0.6931471605599455,0.725,9
127,0.7831471605599455,0.6931471605599455,0.5,9
128,0.7831471605599455,0.6931471605599455,0.6,9
129,0.7831471605599455,0.6931471605599455,0.5,9
130,0.7831471605599454,0.6931471605599454,0.525,9
131,0.7831471605599455,0.6931471605599455,0.475,9
132,0.7831471605599454,0.6931471605599454,0.275,9
133,0.7831471605599454,0.6931471605599454,0.5,9
134,0.7831471605599455,0.6931471605599455,0.5,9
135,0.7831471605599455,0.6931471605599455,0.5,9
136,0.7831471605599455,0.6931471605599455,0.55,9
137,0.7831471605599455,0.6931471605599455,0.5,9
138,0.7831471605599454,0.6931471605599454,0.5,9
139,0.7831471605599455,0.6931471605599455,0.5,9
140,0.7831471605599455,0.6931471605599455,0.5,9
141,0.7831471605599454,0.6931471605599454,0.375,9
142,0.7831471605599454,0.6931471605599454,0.475,9
143,0.7831471605599455,0.6931471605599455,0.5,9
144,0.7831471605599454,0.6931471605599454,0.5,9
145,0.7831471605599455,0.6931471605599455,0.5,9
146,0.7831471605599455,0.6931471605599455,0.5,9
147,0.7831471605599454,0.6931471605599454,0.5,9
148,0.7831471605599455,0.6931471605599455,0.5,9
149,0.7831471605599454,0.6931471605599454,0.525,9
